iterations,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,6119,5,307,90,0,1367,135
1,5614,42,413,219,23,1629,97
2,5641,49,400,210,17,1595,114
